GPU 0: NVIDIA A100 80GB PCIe (UUID: GPU-439e77c6-925a-153f-7807-eb1495e35f3b)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.003661', 'grad_norm': '0.01646', 'learning_rate': '1.72e-05', 'epoch': '1.119'}
{'loss': '0.0207', 'grad_norm': '1.216', 'learning_rate': '1.719e-05', 'epoch': '1.125'}
{'loss': '0.0004464', 'grad_norm': '0.00795', 'learning_rate': '1.717e-05', 'epoch': '1.131'}
{'loss': '0.005446', 'grad_norm': '0.006722', 'learning_rate': '1.716e-05', 'epoch': '1.137'}
{'loss': '0.008458', 'grad_norm': '0.01377', 'learning_rate': '1.714e-05', 'epoch': '1.144'}
{'loss': '0.04108', 'grad_norm': '0.006239', 'learning_rate': '1.713e-05', 'epoch': '1.15'}
{'loss': '0.01767', 'grad_norm': '0.01732', 'learning_rate': '1.711e-05', 'epoch': '1.156'}
{'loss': '0.02685', 'grad_norm': '43.35', 'learning_rate': '1.71e-05', 'epoch': '1.162'}
{'loss': '0.00101', 'grad_norm': '0.06302', 'learning_rate': '1.708e-05', 'epoch': '1.168'}
{'loss': '0.007841', 'grad_norm': '0.7345', 'learning_rate': '1.707e-05', 'epoch': '1.174'}
{'loss': '0.002311', 'grad_norm': '0.008874', 'learning_rate': '1.705e-05', 'epoch': '1.18'}
{'loss': '0.01343', 'grad_norm': '0.005474', 'learning_rate': '1.704e-05', 'epoch': '1.186'}
{'loss': '0.006919', 'grad_norm': '0.005487', 'learning_rate': '1.702e-05', 'epoch': '1.192'}
{'loss': '0.02379', 'grad_norm': '0.005016', 'learning_rate': '1.701e-05', 'epoch': '1.198'}
{'loss': '0.02903', 'grad_norm': '53.25', 'learning_rate': '1.699e-05', 'epoch': '1.204'}
{'loss': '0.02138', 'grad_norm': '0.00545', 'learning_rate': '1.698e-05', 'epoch': '1.21'}
{'loss': '0.001161', 'grad_norm': '5.43', 'learning_rate': '1.696e-05', 'epoch': '1.217'}
{'loss': '0.03186', 'grad_norm': '20.27', 'learning_rate': '1.694e-05', 'epoch': '1.223'}
{'loss': '0.02796', 'grad_norm': '1.654', 'learning_rate': '1.693e-05', 'epoch': '1.229'}
{'loss': '0.005097', 'grad_norm': '0.007136', 'learning_rate': '1.691e-05', 'epoch': '1.235'}
{'loss': '0.007968', 'grad_norm': '0.009458', 'learning_rate': '1.69e-05', 'epoch': '1.241'}
{'loss': '0.03939', 'grad_norm': '14.29', 'learning_rate': '1.688e-05', 'epoch': '1.247'}
{'loss': '0.02891', 'grad_norm': '0.008461', 'learning_rate': '1.687e-05', 'epoch': '1.253'}
{'loss': '0.002803', 'grad_norm': '0.2842', 'learning_rate': '1.685e-05', 'epoch': '1.259'}
{'loss': '0.005657', 'grad_norm': '11.37', 'learning_rate': '1.684e-05', 'epoch': '1.265'}
{'loss': '0.02174', 'grad_norm': '0.007147', 'learning_rate': '1.682e-05', 'epoch': '1.271'}
{'loss': '0.01963', 'grad_norm': '19.16', 'learning_rate': '1.681e-05', 'epoch': '1.277'}
{'loss': '0.006389', 'grad_norm': '0.01441', 'learning_rate': '1.679e-05', 'epoch': '1.283'}
{'loss': '0.008229', 'grad_norm': '0.01634', 'learning_rate': '1.678e-05', 'epoch': '1.29'}
{'loss': '0.009301', 'grad_norm': '0.00822', 'learning_rate': '1.676e-05', 'epoch': '1.296'}
{'loss': '0.02761', 'grad_norm': '0.5688', 'learning_rate': '1.675e-05', 'epoch': '1.302'}
{'loss': '0.003608', 'grad_norm': '0.008522', 'learning_rate': '1.673e-05', 'epoch': '1.308'}
{'loss': '0.004312', 'grad_norm': '0.2078', 'learning_rate': '1.672e-05', 'epoch': '1.314'}
{'loss': '0.009388', 'grad_norm': '0.008282', 'learning_rate': '1.67e-05', 'epoch': '1.32'}
{'loss': '0.04108', 'grad_norm': '0.00518', 'learning_rate': '1.669e-05', 'epoch': '1.326'}
{'loss': '0.002072', 'grad_norm': '0.006927', 'learning_rate': '1.667e-05', 'epoch': '1.332'}
{'loss': '0.03447', 'grad_norm': '0.006074', 'learning_rate': '1.666e-05', 'epoch': '1.338'}
{'loss': '0.0248', 'grad_norm': '1.677', 'learning_rate': '1.664e-05', 'epoch': '1.344'}
{'loss': '0.01277', 'grad_norm': '0.01072', 'learning_rate': '1.663e-05', 'epoch': '1.35'}
{'loss': '0.01663', 'grad_norm': '0.5556', 'learning_rate': '1.661e-05', 'epoch': '1.356'}
{'loss': '0.005142', 'grad_norm': '0.005268', 'learning_rate': '1.66e-05', 'epoch': '1.363'}
{'loss': '0.01856', 'grad_norm': '0.009454', 'learning_rate': '1.658e-05', 'epoch': '1.369'}
{'loss': '0.003528', 'grad_norm': '0.005919', 'learning_rate': '1.656e-05', 'epoch': '1.375'}
{'loss': '0.006871', 'grad_norm': '0.5378', 'learning_rate': '1.655e-05', 'epoch': '1.381'}
{'loss': '0.0397', 'grad_norm': '0.3512', 'learning_rate': '1.653e-05', 'epoch': '1.387'}
{'loss': '0.02698', 'grad_norm': '7.606', 'learning_rate': '1.652e-05', 'epoch': '1.393'}
{'loss': '0.003641', 'grad_norm': '0.009348', 'learning_rate': '1.65e-05', 'epoch': '1.399'}
{'loss': '0.005781', 'grad_norm': '0.007781', 'learning_rate': '1.649e-05', 'epoch': '1.405'}
{'loss': '0.02741', 'grad_norm': '0.4378', 'learning_rate': '1.647e-05', 'epoch': '1.411'}
{'loss': '0.02516', 'grad_norm': '0.01006', 'learning_rate': '1.646e-05', 'epoch': '1.417'}
{'loss': '0.02034', 'grad_norm': '0.01361', 'learning_rate': '1.644e-05', 'epoch': '1.423'}
{'loss': '0.003467', 'grad_norm': '0.2389', 'learning_rate': '1.643e-05', 'epoch': '1.429'}
{'loss': '0.003303', 'grad_norm': '0.02212', 'learning_rate': '1.641e-05', 'epoch': '1.436'}
{'loss': '0.01289', 'grad_norm': '0.006697', 'learning_rate': '1.64e-05', 'epoch': '1.442'}
