GPU 0: NVIDIA A100-PCIE-40GB (UUID: GPU-8fe22491-0fcf-953f-984a-d3cef85341a0)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.301', 'grad_norm': '20.79', 'learning_rate': '1.982e-05', 'epoch': '0.9002'}
{'loss': '0.2994', 'grad_norm': '41.43', 'learning_rate': '1.982e-05', 'epoch': '0.9063'}
{'loss': '0.29', 'grad_norm': '25.66', 'learning_rate': '1.982e-05', 'epoch': '0.9124'}
{'loss': '0.2195', 'grad_norm': '232.8', 'learning_rate': '1.982e-05', 'epoch': '0.9185'}
{'loss': '0.3267', 'grad_norm': '22.29', 'learning_rate': '1.982e-05', 'epoch': '0.9246'}
{'loss': '0.3035', 'grad_norm': '155.9', 'learning_rate': '1.981e-05', 'epoch': '0.9307'}
{'loss': '0.3139', 'grad_norm': '38.73', 'learning_rate': '1.981e-05', 'epoch': '0.9367'}
{'loss': '0.2935', 'grad_norm': '19.79', 'learning_rate': '1.981e-05', 'epoch': '0.9428'}
{'loss': '0.273', 'grad_norm': '20.9', 'learning_rate': '1.981e-05', 'epoch': '0.9489'}
{'loss': '0.2385', 'grad_norm': '156.9', 'learning_rate': '1.981e-05', 'epoch': '0.955'}
{'loss': '0.2565', 'grad_norm': '29.07', 'learning_rate': '1.981e-05', 'epoch': '0.9611'}
{'loss': '0.3277', 'grad_norm': '17.53', 'learning_rate': '1.981e-05', 'epoch': '0.9672'}
{'loss': '0.2143', 'grad_norm': '162.3', 'learning_rate': '1.981e-05', 'epoch': '0.9732'}
{'loss': '0.2781', 'grad_norm': '43.72', 'learning_rate': '1.98e-05', 'epoch': '0.9793'}
{'loss': '0.2976', 'grad_norm': '14.36', 'learning_rate': '1.98e-05', 'epoch': '0.9854'}
{'loss': '0.3133', 'grad_norm': '116.7', 'learning_rate': '1.98e-05', 'epoch': '0.9915'}
{'loss': '0.2448', 'grad_norm': '14.49', 'learning_rate': '1.98e-05', 'epoch': '0.9976'}
{'eval_loss': '0.2428', 'eval_accuracy': '0.902', 'eval_precision': '0.9142', 'eval_recall': '0.8994', 'eval_f1': '0.9067', 'eval_runtime': '12.05', 'eval_samples_per_second': '1078', 'eval_steps_per_second': '16.93', 'epoch': '1'}
{'loss': '0.2406', 'grad_norm': '44.04', 'learning_rate': '1.98e-05', 'epoch': '1.004'}
{'loss': '0.2426', 'grad_norm': '39.54', 'learning_rate': '1.98e-05', 'epoch': '1.01'}
{'loss': '0.2334', 'grad_norm': '22.37', 'learning_rate': '1.98e-05', 'epoch': '1.016'}
{'loss': '0.2588', 'grad_norm': '58.62', 'learning_rate': '1.98e-05', 'epoch': '1.022'}
{'loss': '0.2412', 'grad_norm': '30.89', 'learning_rate': '1.979e-05', 'epoch': '1.028'}
{'loss': '0.2157', 'grad_norm': '51.06', 'learning_rate': '1.979e-05', 'epoch': '1.034'}
{'loss': '0.2151', 'grad_norm': '44.28', 'learning_rate': '1.979e-05', 'epoch': '1.04'}
{'loss': '0.1999', 'grad_norm': '34.99', 'learning_rate': '1.979e-05', 'epoch': '1.046'}
{'loss': '0.2618', 'grad_norm': '32.96', 'learning_rate': '1.979e-05', 'epoch': '1.052'}
{'loss': '0.2816', 'grad_norm': '30.54', 'learning_rate': '1.979e-05', 'epoch': '1.058'}
{'loss': '0.1988', 'grad_norm': '13.16', 'learning_rate': '1.979e-05', 'epoch': '1.064'}
{'loss': '0.2015', 'grad_norm': '38.63', 'learning_rate': '1.979e-05', 'epoch': '1.071'}
{'loss': '0.2587', 'grad_norm': '22.18', 'learning_rate': '1.978e-05', 'epoch': '1.077'}
{'loss': '0.1827', 'grad_norm': '8.637', 'learning_rate': '1.978e-05', 'epoch': '1.083'}
{'loss': '0.2511', 'grad_norm': '10.3', 'learning_rate': '1.978e-05', 'epoch': '1.089'}
{'loss': '0.2225', 'grad_norm': '30.56', 'learning_rate': '1.978e-05', 'epoch': '1.095'}
{'loss': '0.2995', 'grad_norm': '31.26', 'learning_rate': '1.978e-05', 'epoch': '1.101'}
{'loss': '0.2189', 'grad_norm': '11.82', 'learning_rate': '1.978e-05', 'epoch': '1.107'}
{'loss': '0.1939', 'grad_norm': '51.46', 'learning_rate': '1.978e-05', 'epoch': '1.113'}
{'loss': '0.2497', 'grad_norm': '79.03', 'learning_rate': '1.978e-05', 'epoch': '1.119'}
