GPU 0: NVIDIA A100 80GB PCIe (UUID: GPU-29585563-232c-f53f-831f-ba58a4316572)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.02389', 'grad_norm': '0.05543', 'learning_rate': '1.983e-05', 'epoch': '0.8698'}
{'loss': '0.05489', 'grad_norm': '0.02631', 'learning_rate': '1.982e-05', 'epoch': '0.8759'}
{'loss': '0.002401', 'grad_norm': '0.2252', 'learning_rate': '1.982e-05', 'epoch': '0.882'}
{'loss': '0.06449', 'grad_norm': '5.037', 'learning_rate': '1.982e-05', 'epoch': '0.8881'}
{'loss': '0.067', 'grad_norm': '0.03355', 'learning_rate': '1.982e-05', 'epoch': '0.8942'}
{'loss': '0.03871', 'grad_norm': '25.57', 'learning_rate': '1.982e-05', 'epoch': '0.9002'}
{'loss': '0.03089', 'grad_norm': '0.37', 'learning_rate': '1.982e-05', 'epoch': '0.9063'}
{'loss': '0.03443', 'grad_norm': '3.704', 'learning_rate': '1.982e-05', 'epoch': '0.9124'}
{'loss': '0.01906', 'grad_norm': '0.499', 'learning_rate': '1.982e-05', 'epoch': '0.9185'}
{'loss': '0.04901', 'grad_norm': '0.6749', 'learning_rate': '1.982e-05', 'epoch': '0.9246'}
{'loss': '0.02092', 'grad_norm': '1.041', 'learning_rate': '1.981e-05', 'epoch': '0.9307'}
{'loss': '0.04037', 'grad_norm': '0.1259', 'learning_rate': '1.981e-05', 'epoch': '0.9367'}
{'loss': '0.05845', 'grad_norm': '23.97', 'learning_rate': '1.981e-05', 'epoch': '0.9428'}
{'loss': '0.04634', 'grad_norm': '0.4767', 'learning_rate': '1.981e-05', 'epoch': '0.9489'}
{'loss': '0.03277', 'grad_norm': '0.04426', 'learning_rate': '1.981e-05', 'epoch': '0.955'}
{'loss': '0.05989', 'grad_norm': '0.1086', 'learning_rate': '1.981e-05', 'epoch': '0.9611'}
{'loss': '0.004505', 'grad_norm': '0.2923', 'learning_rate': '1.981e-05', 'epoch': '0.9672'}
{'loss': '0.001605', 'grad_norm': '0.2134', 'learning_rate': '1.981e-05', 'epoch': '0.9732'}
{'loss': '0.002485', 'grad_norm': '0.02198', 'learning_rate': '1.98e-05', 'epoch': '0.9793'}
{'loss': '0.02405', 'grad_norm': '0.0703', 'learning_rate': '1.98e-05', 'epoch': '0.9854'}
{'loss': '0.00207', 'grad_norm': '0.007477', 'learning_rate': '1.98e-05', 'epoch': '0.9915'}
{'loss': '0.05854', 'grad_norm': '0.01269', 'learning_rate': '1.98e-05', 'epoch': '0.9976'}
{'eval_loss': '0.6155', 'eval_accuracy': '0.9047', 'eval_precision': '0.879', 'eval_recall': '0.951', 'eval_f1': '0.9136', 'eval_runtime': '3.198', 'eval_samples_per_second': '4064', 'eval_steps_per_second': '63.79', 'epoch': '1'}
{'loss': '0.05192', 'grad_norm': '0.1016', 'learning_rate': '1.98e-05', 'epoch': '1.004'}
{'loss': '0.01126', 'grad_norm': '0.01822', 'learning_rate': '1.98e-05', 'epoch': '1.01'}
